SYMBOL,AVG_TTL_TRD_QNTY,AVG_DELIV_QTY
CONSUMBEES,82175.2,57933.4
CONSUMER,55135.0,44132.2
CONSUMIETF,26599.2,20066.2
CONTI,6666.0,3333.0
CONTROLPR,98613.6,37306.9
COOLCAPS,7500.0,5000.0
CORALFINAC,103397.9,45574.5
CORDSCABLE,52226.9,29656.5
COROMANDEL,656117.8,307811.8
COSMOFIRST,65064.9,40116.9
CPCAP,4772.7,2922.4
CPSEETF,1001294.8,666517.3
CRAFTSMAN,114878.0,38773.8
CRAYONS,6000.0,4000.0
CREATIVE,31685.8,22037.8
CREDITACC,997023.6,200947.9
CREST,6953.1,5038.5
CRISIL,36675.9,16097.2
CRIZAC,3848150.2,925103.1
CROMPTON,1850845.6,1034946.4
CROWN,24059.5,14995.0
CSBBANK,288860.7,164815.5
CSLFINANCE,13505.8,7883.1
CUB,1149539.9,669298.9
CUMMINSIND,453582.6,297593.8
CUPID,8483298.5,2749677.9
CYBERMEDIA,30335.6,18964.3
CYBERTECH,84183.33,50586.67
CYIENT,564465.0,194272.2
CYIENTDLM,233148.4,114076.8
DABUR,2056652.4,1360599.9
DALBHARAT,514584.5,229955.1
DALMIASUG,77180.8,44893.0
DAMCAPITAL,924305.5,342110.8
DAMODARIND,9297.8,7332.2
DANISH,31050.0,18750.0
DATAMATICS,1749457.0,269381.6
DATAPATTNS,209242.0,77392.7
DAVANGERE,1090422.3,705761.2
DBCORP,159643.8,68807.5
DBEIL,40623.7,22441.2
DBL,179917.0,61187.6
DBOL,165326.5,88446.9
DBREALTY,3294459.0,1586026.0
DBSTOCKBRO,23539.6,10846.5
DCBBANK,1598146.8,914313.3
DCCL,36000.0,32000.0
DCG,67200.0,38400.0
DCI,15038.2,8578.9
DCM,31708.0,14989.1
DCMNVL,16964.7,10876.2
DCMSHRIRAM,182828.9,56557.5
DCMSRIND,93046.8,52587.2
DCW,2007695.2,716130.7
DCXINDIA,563293.0,244991.6
DDEVPLSTIK,286756.5,133685.0
DECCANCE,183645.8,66842.1
DECCANTRAN,14400.0,10800.0
DEEDEV,61989.3,34848.2
DEEM,13000.0,10000.0
DEEPAKFERT,440654.2,137608.9
DEEPAKNTR,80115.6,39251.8
DEEPINDS,163225.3,80152.9
DELAPLEX,28800.0,22200.0
DELHIVERY,2617430.7,1307171.9
DELTACORP,1766931.5,686794.2
DELTIC,92000.0,84000.0
DEN,836180.9,323813.2
DENEERS,8400.0,5400.0
DENORA,10923.0,6760.1
DENTA,2048460.8,381237.3
DENTALKART,29000.0,24750.0
DESTINY,3000.0,3000.0
DEVIT,59172.0,28260.9
DEVYANI,2223382.8,1395495.0
DHAMPURSUG,92325.5,43359.6
DHANBANK,1262746.0,531245.5
DHANI,2603642.9,931450.7
DHANLAXMI,22000.0,14000.0
DHANUKA,98468.8,41451.5
DHARIWAL,7200.0,6000.0
DHUNINV,1565.9,909.2
DIACABS,2325017.8,902646.2
DIAMINESQ,5317.6,3796.6
DIAMONDYD,49337.4,26502.3
DICIND,1592.6,962.2
DIFFNKG,301726.3,98523.4
DIGIDRIVE,18161.1,12382.3
DIGIKORE,5600.0,4400.0
DIGISPICE,78961.6,39336.9
DIGITIDE,1612191.2,498883.9
DISHTV,3403533.75,2080102.38
DIVGIITTS,9534.6,6016.7
DIVINEHIRA,11200.0,9600.0
DIVISLAB,207297.9,122562.8
DIVOPPBEES,66159.0,53526.3
DIXON,359654.5,117850.8
DJML,15814.4,9494.2
DKEGL,7500.0,7500.0
DLF,2419757.1,1060227.9
DLINKINDIA,129271.2,58232.0
DMART,731561.8,376057.4
DMCC,139514.3,62167.8
DNAMEDIA,143197.7,50794.0
DODLA,201935.5,135606.3
DOLATALGO,222644.5,113921.0
DOLLAR,56081.2,31626.7
DOLLEX,16000.0,16000.0
DOLPHIN,5644.5,3539.8
DOMS,62332.5,40424.9
DONEAR,54448.9,32204.0
DPABHUSHAN,69719.3,20118.9
DPSCLTD,170128.5,112372.3
DPWIRES,7302.6,3811.7
DREDGECORP,23334.0,11573.8
DRONE,20000.0,14500.0
DRREDDY,1517256.1,707259.9
DSSL,20939.5,10632.7
DTIL,4977.0,2846.1
DTL,12000.0,4800.0
DUCOL,4000.0,3200.0
DUCON,303802.9,213323.8
DUGLOBAL,25000.0,15000.0
DURLAX,30000.0,26000.0
DVL,31347.2,17606.5
DWARKESH,397190.2,232180.0
DYCL,380080.8,132364.8
DYNAMATECH,8066.1,4371.1
DYNAMIC,26500.0,23500.0
DYNPRO,111487.4,37395.0
E2E,88303.3,48484.3
EASEMYTRIP,12555141.6,4828037.0
EBANKNIFTY,960.1,772.2
EBBETF0430,13089.0,10832.4
EBBETF0431,18945.6,17138.1
EBBETF0433,4308.3,3656.9
EBGNG,26545484.0,10672966.0
ECAPINSURE,54519.3,44939.8
ECLERX,151675.6,53916.5
ECOSMOBLTY,558183.4,190352.5
EDELWEISS,5348604.9,2416815.2
EEPL,67000.0,53000.0
EFACTOR,3200.0,3200.0
EFFWA,18400.0,18400.0
EFORCE,9600.0,9600.0
EGOLD,180071.6,175464.5
EICHERMOT,308242.7,197764.5
EIDPARRY,289878.5,145902.3
EIEL,9664258.3,1627294.8
EIHAHOTELS,20344.8,9514.8
EIHOTEL,331659.2,176222.4
EIMCOELECO,12326.2,5785.2
EKC,299152.5,152689.5
ELDEHSG,505.3,332.7
ELECON,409053.2,183803.2
ELECTCAST,1857881.6,824910.7
ELECTHERM,14997.9,8402.2
ELGIEQUIP,1335486.3,456985.2
ELGNZ,99000.0,75000.0
ELLEN,706545.0,370124.0
EMAMILTD,378866.3,251696.4
EMAMIPAP,28064.6,13440.7
EMAPARTNER,26000.0,12000.0
EMBASSY,619749.0,519123.0
EMBDL,3653048.4,1543218.9
EMCURE,183378.4,113100.0
EMIL,755866.7,307052.4
EMKAY,21159.1,14089.7
EMKAYTOOLS,10950.0,10050.0
EMMBI,25843.2,14148.0
EMMIL,9500.0,8250.0
EMSLIMITED,362144.3,127559.2
EMUDHRA,97043.6,37222.4
EMULTIMQ,62272.8,54027.8
ENDURANCE,41525.4,21185.6
ENFUSE,15000.0,9000.0
ENGINERSIN,2344437.6,1021636.7
ENIL,29536.4,16736.2
ENRIN,600220.6,336359.5
ENSER,125000.0,120000.0
ENTERO,86597.1,47231.9
ENVIRO,42000.0,32000.0
EPACK,606669.7,315387.5
EPIGRAL,162832.9,83331.5
EPL,381194.7,199918.9
EQUAL200,70050.8,66827.0
EQUAL50,3447.4,3387.0
EQUAL50ADD,13339.1,8200.9
EQUITASBNK,2602867.5,1469567.1
ERIS,101150.5,53345.0
ESABINDIA,5778.1,2733.3
ESAFSFB,443484.5,181409.6
ESCONET,11600.0,11600.0
ESCORTS,83396.9,45848.2
ESFL,16200.0,13680.0
ESG,20738.1,18795.0
ESILVER,143676.4,136688.5
ESPRIT,4800.0,4800.0
ESSENTIA,1567207.6,1013323.4
ESTER,148457.4,74722.9
ETERNAL,67851267.9,27686338.7
ETHOSLTD,27086.3,20243.2
ETL,1200.0,1200.0
ETML,1483.0,1471.0
EUREKAFORB,186663.22,138718.0
EUROTEXIND,3804.56,2172.56
EVEREADY,535922.56,254236.56
EVIETF,68013.11,50003.33
EVINDIA,199695.33,128582.0
EXCEL,15807428.5,9874376.5
EXCELINDUS,19625.56,10284.33
EXICOM,342207.44,112406.33
EXIDEIND,1920153.56,724708.78
EXPLEOSOL,14870.0,8259.67
FACT,421970.44,75145.67
FAIRCHEMOR,6192.11,3603.44
FAZE3Q,80184.44,25173.78
FCL,285570.44,101890.33
FCSSOFT,2197448.22,1084349.56
FDC,68082.78,34029.44
FEDERALBNK,6498128.33,3958953.44
FEDFINA,1750394.56,838868.44
FIBERWEB,67951.33,42384.33
FIEMIND,78204.56,30811.22
FILATEX,4449694.67,920194.11
FILATFASH,36351932.78,14430890.89
FINCABLES,186632.67,106616.22
FINEORG,16309.0,7289.22
FINIETF,325441.33,217483.56
FINOPB,238225.44,98071.78
FINPIPE,976831.67,493652.56
FIRSTCRY,668563.22,308042.67
FISCHER,68606.22,19196.44
FIVESTAR,996821.56,494121.67
FLAIR,419091.22,207232.78
FLUOROCHEM,80482.22,48550.78
FMCGIETF,1060852.33,795102.56
FMGOETZE,105124.11,43600.78
FORCEMOT,358178.67,61261.89
FORTIS,1868798.33,1009682.56
FOSECOIND,16096.22,2805.33
FSL,848764.89,295624.11
FUSION,323607.67,152600.89
GABRIEL,517688.0,238499.0
GAEL,516471.67,282825.44
GAIL,9259597.89,5072815.78
GALAPREC,22409.0,9971.56
GALAXYSURF,16388.56,8155.22
GALLANTT,809846.89,149605.89
GANDHAR,126049.56,67509.44
GANDHITUBE,7865.67,4026.67
GANECOS,67073.56,39192.78
GANESHBE,184666.78,117097.22
GANESHHOUC,123117.56,59754.44
GANGAFORGE,292093.44,175084.11
GANGESSECU,2268.67,1178.44
GARFIBRES,87202.11,53339.56
GARUDA,7639379.44,1348765.78
GATEWAY,4974704.22,1248959.33
GEECEE,4240.67,2236.44
GEEKAYWIRE,67088.67,42331.67
GENESYS,175002.44,88355.33
GENUSPAPER,111124.44,72478.33
GENUSPOWER,637721.22,362499.78
GEOJITFSL,641834.78,308828.89
GEPIL,177726.22,80272.33
GESHIP,232364.78,125261.44
GFLLIMITED,64735.67,31125.56
GHCL,171722.56,85549.11
GHCLTEXTIL,111530.44,59300.0
GICHSGFIN,134110.33,80067.11
GICRE,682335.67,249466.78
GILLANDERS,126775.0,35859.89
GILLETTE,26950.67,11989.22
GILT5YBEES,260835.89,216060.56
GIPCL,249930.11,129360.56
GKWLIMITED,340.11,237.44
GLAND,439301.11,279983.22
GLAXO,72173.56,43046.33
GLENMARK,1429999.56,718203.67
GLOBALVECT,42957.0,15223.33
