SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
GOLDIAM,169748.11,76884,-54.71
GOLDIETF,1299069.33,2460215,89.38
GOLDSHARE,198805.11,632272,218.04
GOPAL,88219.11,19984,-77.35
GPPL,599850.56,1630235,171.77
GPTHEALTH,322208.22,86622,-73.12
GPTINFRA,151935.33,72328,-52.4
GRAVITA,86608.33,224524,159.24
GREAVESCOT,523622.11,810131,54.72
GRINDWELL,27245.33,10806,-60.34
GRINFRA,7253.44,104672,1343.07
GROWWDEFNC,255756.89,106440,-58.38
GROWWNET,579437.89,5056961,772.74
GRPLTD,2091.67,950,-54.58
GRSE,318642.22,105688,-66.83
GSEC10ABSL,1663.12,44,-97.35
GSEC10IETF,1499.44,570,-61.99
GSEC10YEAR,2583.67,9162,254.61
GSLSU,147922.11,47814,-67.68
GSPL,289707.44,91676,-68.36
GSS,66018.67,28105,-57.43
GTLINFRA,35628406.33,17708126,-50.3
GTPL,58649.89,29024,-50.51
GUFICBIO,28678.44,52547,83.23
GUJALKALI,82080.33,176023,114.45
GUJAPOLLO,35709.44,15384,-56.92
GUJRAFFIA,3134.67,18038,475.44
GUJTHEM,79807.11,29319,-63.26
GULPOLY,69263.22,17861,-74.21
GVPTECH,71820.33,351121,388.89
HARSHA,30447.0,145414,377.6
HATHWAY,2983784.67,1289768,-56.77
HATSUN,46297.56,22661,-51.05
HDFCAMC,349864.33,130711,-62.64
HDFCLIFE,1821296.67,769255,-57.76
HDFCLIQUID,5998.33,17174,186.31
HDFCMOMENT,138150.33,370322,168.06
HDFCNEXT50,35172.0,53158,51.14
HDFCNIF100,45698.33,10305,-77.45
HDFCNIFBAN,251301.78,17136,-93.18
HDFCNIFIT,65681.0,205014,212.14
HDFCPSUBK,91167.22,4335,-95.25
HDFCQUAL,14570.44,26520,82.01
HDFCVALUE,9329.89,2481,-73.41
HEADSUP,22723.56,54207,138.55
HEG,453274.56,178273,-60.67
HEXATRADEX,3367.67,1365,-59.47
HFCL,1976491.22,3077466,55.7
HGINFRA,68982.33,21260,-69.18
HGS,32401.56,12225,-62.27
HIMATSEIDE,237116.44,399728,68.58
HINDCOMPOS,2731.33,5636,106.35
HINDUNILVR,1306349.22,378401,-71.03
HIRECT,19104.44,30622,60.29
HISARMETAL,7211.67,21383,196.51
HITECHCORP,9892.11,3752,-62.07
HLEGLAS,48050.33,135239,181.45
HNGSNGBEES,169516.78,269379,58.91
HONAUT,1952.78,10602,442.92
HPAL,150940.0,44140,-70.76
HPIL,821.33,3125,280.48
HPL,243590.22,106771,-56.17
HYUNDAI,291794.44,139370,-52.24
ICEMAKE,12456.22,4967,-60.12
ICICIB22,161516.11,545014,237.44
ICICIPRULI,1091320.89,490779,-55.03
ICRA,3732.33,1677,-55.07
IDFNIFTYET,362.11,127,-64.93
IEX,2327560.67,55882920,2300.92
IGARASHI,43675.78,108230,147.8
IGIL,243926.22,734233,201.01
IGL,1199156.67,2450401,104.34
IKS,101163.56,171363,69.39
INDGN,204481.11,348025,70.2
INDHOTEL,1527012.11,763061,-50.03
INDIAMART,155860.22,72349,-53.58
INDIANB,824052.78,2382556,189.13
INDIASHLTR,129546.78,45788,-64.66
INDIGO,550687.78,200654,-63.56
INDOAMIN,39455.22,88666,124.73
INDOBORAX,90666.33,1197461,1220.73
INDOCO,70137.11,194220,176.91
INDOFARM,160415.67,77657,-51.59
INDOSTAR,137938.22,61476,-55.43
INDOTECH,7025.78,18424,162.23
INDOUS,37073.22,100648,171.48
INDOWIND,101326.89,182979,80.58
INDSWFTLTD,155576.33,43531,-72.02
INDTERRAIN,45410.56,93906,106.79
INDUSINDBK,1402802.0,423939,-69.78
INFOBEAN,59365.89,344122,479.66
INFRAIETF,2273944.0,109709,-95.18
