SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
GRPLTD,6333.44,24775,291.18
GRSE,705096.78,1204116,70.77
GRWRHITECH,28936.78,111791,286.33
GSEC10ABSL,1021.5,10,-99.02
GSEC10YEAR,7431.0,15046,102.48
GSLSU,228755.56,70610,-69.13
GSPL,609673.11,179614,-70.54
GTPL,107225.33,34465,-67.86
GUJALKALI,149509.67,64823,-56.64
GUJRAFFIA,6781.89,79,-98.84
GULFOILLUB,74729.56,33392,-55.32
GULPOLY,96309.11,31345,-67.45
GVPTECH,121485.78,1037205,753.77
GVT&D,456548.78,72054,-84.22
HAPPSTMNDS,478030.78,181751,-61.98
HARIOMPIPE,492504.44,159176,-67.68
HATHWAY,6036296.44,2897302,-52.0
HATSUN,227319.33,34074,-85.01
HAVELLS,1463321.33,705250,-51.8
HCG,149160.22,259567,74.02
HDFCLIQUID,15266.11,3752,-75.42
HDFCLOWVOL,24450.89,8354,-65.83
HDFCMOMENT,323085.44,133103,-58.8
HDFCNIFBAN,104317.67,26817,-74.29
HDFCNIFTY,73324.67,35464,-51.63
HDFCPSUBK,22414.78,34076,52.02
HDFCPVTBAN,60569.89,23572,-61.08
HDFCQUAL,27986.67,13618,-51.34
HDFCSILVER,1412608.89,3265409,131.16
HDFCVALUE,8602.0,2393,-72.18
HEADSUP,37253.44,7237,-80.57
HEALTHADD,1537.11,2836,84.5
HEALTHIETF,60991.0,196227,221.73
HEALTHY,181597.22,395554,117.82
HEG,975851.44,46705589,4686.14
HEIDELBERG,306247.22,79519,-74.03
HERANBA,105116.44,184167,75.2
HESTERBIO,5880.0,9426,60.31
HEUBACHIND,34715.67,13382,-61.45
HGS,151197.56,14056,-90.7
HINDCOPPER,6213347.0,14186163,128.32
HINDPETRO,3696493.0,9826520,165.83
HINDUNILVR,951961.78,5505507,478.33
HINDWAREAP,63087.56,109379,73.38
HITECH,818077.89,1540149,88.26
HMVL,22459.11,8333,-62.9
HNGSNGBEES,402040.67,182498,-54.61
HONASA,424280.22,756575,78.32
HONAUT,3801.33,1899,-50.04
HPIL,4348.0,935587,21417.64
HYUNDAI,368197.11,845705,129.69
ICEMAKE,16134.33,32885,103.82
ICICIB22,282243.44,448553,58.92
ICICIPRULI,1075222.0,453485,-57.82
ICIL,195327.0,704055,260.45
ICRA,5432.22,21605,297.72
IDFNIFTYET,653.56,266,-59.3
IEX,69680655.44,28369765,-59.29
IFGLEXPOR,29893.78,13460,-54.97
IGARASHI,112205.11,28032,-75.02
IGCL,1431029.33,400911,-71.98
IGL,3738689.44,7964273,113.02
IIFL,1330466.56,3135193,135.65
IIFLCAPS,836871.67,389647,-53.44
IKIO,46509.89,78358,68.48
INDGN,372086.44,898519,141.48
INDIACEM,1294785.56,617578,-52.3
INDIAGLYCO,172640.89,75243,-56.42
INDIAMART,111880.44,52545,-53.03
INDIANCARD,10045.11,2182,-78.28
INDIANHUME,57186.44,27759,-51.46
INDIGO,724613.78,2572409,255.0
INDIQUBE,10351056.0,5173192,-50.02
INDNIPPON,24572.56,9264,-62.3
INDOAMIN,101009.89,167201,65.53
INDOCO,195671.33,63896,-67.35
INDOTECH,22658.44,34173,50.82
INDTERRAIN,139837.11,67004,-52.08
INDUSTOWER,3955512.22,12526255,216.68
INFOBEAN,508762.33,188009,-63.05
INTELLECT,532801.22,193779,-63.63
INTERNET,162252.56,31059,-80.86
INVENTURE,748005.56,2718793,263.47
IOC,7539789.0,11960546,58.63
IONEXCHANG,488581.78,212208,-56.57
ITC,8153930.6,19364174,137.48
ITCHOTELS,6630077.6,2980880,-55.04
ITDCEM,490178.9,1134361,131.42
ITETF,644537.6,267561,-58.49
